map_idx,method,step,coverage
96,diffusion,1,0.182197423997497
96,diffusion,2,0.29811753663242424
96,diffusion,3,0.44894926213693487
96,diffusion,4,0.5576471815195286
96,diffusion,5,0.6639203212181258
96,diffusion,6,0.691192574438129
96,diffusion,7,0.7565573343067216
96,diffusion,8,0.8995150440632007
96,diffusion,9,0.9046514053293008
96,diffusion,10,0.9821400636178755
96,baseline,1,0.182197423997497
96,baseline,2,0.20840068832455547
96,baseline,3,0.3632476404025656
96,baseline,4,0.5004693121969025
96,baseline,5,0.5930281065860145
96,baseline,6,0.7753298221828232
96,baseline,7,0.7917036032747562
96,baseline,8,0.8761797987172133
96,baseline,9,0.9060593419200084
96,baseline,10,0.9080408823069301
96,baseline,11,0.9827658132137457
187,diffusion,1,0.35270235980715553
187,diffusion,2,0.6523217457498097
187,diffusion,3,0.8527784826186248
187,diffusion,4,0.9761989342806394
187,baseline,1,0.35270235980715553
187,baseline,2,0.6523217457498097
187,baseline,3,0.8640954072570414
187,baseline,4,0.8693732555189039
187,baseline,5,0.9895458005582339
290,diffusion,1,0.10328522878392356
290,diffusion,2,0.26358173668915924
290,diffusion,3,0.3214303304930306
290,diffusion,4,0.5218194355513963
290,diffusion,5,0.6396837905728218
290,diffusion,6,0.7546175442052898
290,diffusion,7,0.8222676451755898
290,diffusion,8,0.8754371275181008
290,diffusion,9,0.8772841452002167
290,diffusion,10,0.892725213022706
290,diffusion,11,0.9183125646456188
290,diffusion,12,0.9259961582032212
290,diffusion,13,0.9259961582032212
290,diffusion,14,0.9259961582032212
290,diffusion,15,0.9259961582032212
290,diffusion,16,0.9259961582032212
290,diffusion,17,0.9259961582032212
290,diffusion,18,0.9259961582032212
290,diffusion,19,0.9259961582032212
290,diffusion,20,0.9259961582032212
290,baseline,1,0.10328522878392356
290,baseline,2,0.26358173668915924
290,baseline,3,0.393882677436832
290,baseline,4,0.492119391222972
290,baseline,5,0.6567994877604295
290,baseline,6,0.6849234103334483
290,baseline,7,0.8899669999507462
290,baseline,8,0.9108752401122987
290,baseline,9,0.9336304979559671
290,baseline,10,0.9825887799832537
579,diffusion,1,0.07297219650780477
579,diffusion,2,0.1448590672582756
579,diffusion,3,0.31528713250550644
579,diffusion,4,0.5455038784435152
579,diffusion,5,0.6728381268554282
579,diffusion,6,0.7321479873591471
579,diffusion,7,0.7806365116353305
579,diffusion,8,0.8938615252019025
579,diffusion,9,0.9344016343729051
579,diffusion,10,0.9830816867239123
579,baseline,1,0.07297219650780477
579,baseline,2,0.11836435024100617
579,baseline,3,0.2953362913780445
579,baseline,4,0.5039103648609825
579,baseline,5,0.68346793500814
579,baseline,6,0.7365531330800906
579,baseline,7,0.8402017429054809
579,baseline,8,0.8672710441472212
579,baseline,9,0.8878922335365659
579,baseline,10,0.8974367159319437
579,baseline,11,0.9012353560826124
579,baseline,12,0.9183132760877198
579,baseline,13,0.9999361573083921
775,diffusion,1,0.3485886218773506
775,diffusion,2,0.5749237895403618
775,diffusion,3,0.7398155113029019
775,diffusion,4,0.8410071657626984
775,diffusion,5,0.9335286432558692
775,diffusion,6,0.936220752998931
775,diffusion,7,0.993428085038996
775,baseline,1,0.3485886218773506
775,baseline,2,0.49499188408092165
775,baseline,3,0.6526782532958549
775,baseline,4,0.8363355635615028
775,baseline,5,0.9418029217308682
775,baseline,6,0.9914485925808623
994,diffusion,1,0.10206130130847822
994,diffusion,2,0.4124753540060943
994,diffusion,3,0.4449184441656211
994,diffusion,4,0.5910378203979207
994,diffusion,5,0.7166875784190715
994,diffusion,6,0.8402939594909482
994,diffusion,7,0.9284818067754078
994,diffusion,8,0.9943000537730776
994,baseline,1,0.10206130130847822
994,baseline,2,0.4124753540060943
994,baseline,3,0.5057895680229432
994,baseline,4,0.6835275138913783
994,baseline,5,0.6858218318695106
994,baseline,6,0.685857680587919
994,baseline,7,0.8165262591862341
994,baseline,8,0.8200035848718409
994,baseline,9,0.849435382685069
994,baseline,10,0.8496863237139273
994,baseline,11,0.8496863237139273
994,baseline,12,0.8496863237139273
994,baseline,13,0.8496863237139273
994,baseline,14,0.8496863237139273
994,baseline,15,0.8496863237139273
994,baseline,16,0.8496863237139273
994,baseline,17,0.8496863237139273
994,baseline,18,0.8496863237139273
994,baseline,19,0.8496863237139273
994,baseline,20,0.8496863237139273
1178,diffusion,1,0.06913057352557223
1178,diffusion,2,0.18821618171796584
1178,diffusion,3,0.22064924139131445
1178,diffusion,4,0.32874010037422763
1178,diffusion,5,0.46235966464564415
1178,diffusion,6,0.5014069797801051
1178,diffusion,7,0.5509268660613269
1178,diffusion,8,0.697484842331235
1178,diffusion,9,0.762815119955905
1178,diffusion,10,0.9245162600446752
1178,diffusion,11,0.9249223985379014
1178,diffusion,12,0.9581097154129559
1178,baseline,1,0.06913057352557223
1178,baseline,2,0.15331728119288676
1178,baseline,3,0.2226219140726988
1178,baseline,4,0.34858286675756434
1178,baseline,5,0.49099242841809054
1178,baseline,6,0.5346233065475328
1178,baseline,7,0.678396333149604
1178,baseline,8,0.7416378985233965
1178,baseline,9,0.7812073917205767
1178,baseline,10,0.9311015056134142
1178,baseline,11,0.9575585274578632
1437,diffusion,1,0.16612426035502958
1437,diffusion,2,0.39201183431952663
1437,diffusion,3,0.591457100591716
1437,diffusion,4,0.7329881656804734
1437,diffusion,5,0.9475591715976331
1437,diffusion,6,0.9566568047337278
1437,baseline,1,0.16612426035502958
1437,baseline,2,0.39201183431952663
1437,baseline,3,0.591457100591716
1437,baseline,4,0.6288461538461538
1437,baseline,5,0.7474112426035503
1437,baseline,6,0.7524038461538461
1437,baseline,7,0.8758136094674556
1437,baseline,8,0.8782544378698225
1437,baseline,9,0.9574704142011834
2638,diffusion,1,0.3103094968908988
2638,diffusion,2,0.5592849067269644
2638,diffusion,3,0.7894643866591294
2638,diffusion,4,0.9736786319954777
2638,baseline,1,0.3103094968908988
2638,baseline,2,0.4939231204070096
2638,baseline,3,0.6466930469191634
2638,baseline,4,0.7429338609383833
2638,baseline,5,0.8982475975127191
2638,baseline,6,0.9871749576031656
2822,diffusion,1,0.11727202472952086
2822,diffusion,2,0.32446456171340254
2822,diffusion,3,0.5334786928681828
2822,diffusion,4,0.684091410907485
2822,diffusion,5,0.7707275336718923
2822,diffusion,6,0.8846047692647383
2822,diffusion,7,0.9139158754691985
2822,diffusion,8,0.9616637226760875
2822,baseline,1,0.11727202472952086
2822,baseline,2,0.1564362994038419
2822,baseline,3,0.33365533230293665
2822,baseline,4,0.5340030911901081
2822,baseline,5,0.6824906160300287
2822,baseline,6,0.7376352395672334
2822,baseline,7,0.8885515566350187
2822,baseline,8,0.9402737911238684
2822,baseline,9,0.9647273128725988
3133,diffusion,1,0.23873950053554316
3133,diffusion,2,0.39855685213371667
3133,diffusion,3,0.5512712103275269
3133,diffusion,4,0.6882856981791533
3133,diffusion,5,0.7660522013642257
3133,diffusion,6,0.770223800665201
3133,diffusion,7,0.8738654941090254
3133,diffusion,8,0.9844410620666328
3133,baseline,1,0.23873950053554316
3133,baseline,2,0.3567562996786741
3133,baseline,3,0.45078640284119736
3133,baseline,4,0.5786402841197362
3133,baseline,5,0.7672360335982863
3133,baseline,6,0.7955352612886859
3133,baseline,7,0.8484694740402503
3133,baseline,8,0.8522182761147754
3133,baseline,9,0.8522464625965387
3133,baseline,10,0.8965274254467558
3133,baseline,11,0.9746321664129883
4363,diffusion,1,0.17339237194324242
4363,diffusion,2,0.39549159706148734
4363,diffusion,3,0.5452852973734528
4363,diffusion,4,0.7160611854684512
4363,diffusion,5,0.7187783033108585
4363,diffusion,6,0.7187783033108585
4363,diffusion,7,0.7187783033108585
4363,diffusion,8,0.7187783033108585
4363,diffusion,9,0.7187783033108585
4363,diffusion,10,0.728741068733018
4363,diffusion,11,0.728741068733018
4363,diffusion,12,0.729797725671732
4363,diffusion,13,0.729797725671732
4363,diffusion,14,0.729797725671732
4363,diffusion,15,0.729797725671732
4363,diffusion,16,0.765522793599678
4363,diffusion,17,0.765522793599678
4363,diffusion,18,0.765522793599678
4363,diffusion,19,0.765522793599678
4363,diffusion,20,0.765522793599678
4363,baseline,1,0.17339237194324242
4363,baseline,2,0.39549159706148734
4363,baseline,3,0.5494616081312267
4363,baseline,4,0.6560833249471671
4363,baseline,5,0.7875113213243433
4363,baseline,6,0.7883163932776492
4363,baseline,7,0.8030592734225621
4363,baseline,8,0.8030592734225621
4363,baseline,9,0.8030592734225621
4363,baseline,10,0.8030592734225621
4363,baseline,11,0.8030592734225621
4363,baseline,12,0.8030592734225621
4363,baseline,13,0.8030592734225621
4363,baseline,14,0.8030592734225621
4363,baseline,15,0.8030592734225621
4363,baseline,16,0.8030592734225621
4363,baseline,17,0.8030592734225621
4363,baseline,18,0.8030592734225621
4363,baseline,19,0.8030592734225621
4363,baseline,20,0.8030592734225621
6147,diffusion,1,0.09505996259214435
6147,diffusion,2,0.23412916712509627
6147,diffusion,3,0.39898778743536145
6147,diffusion,4,0.5688194520849378
6147,diffusion,5,0.7269666629992299
6147,diffusion,6,0.8657057982176257
6147,diffusion,7,0.9328639014192981
6147,diffusion,8,0.9673891517218616
6147,baseline,1,0.09505996259214435
6147,baseline,2,0.24209483991638245
6147,baseline,3,0.3796017163604357
6147,baseline,4,0.5358345252503026
6147,baseline,5,0.6765320717350644
6147,baseline,6,0.7643305094069754
6147,baseline,7,0.780107822642755
6147,baseline,8,0.9463307294531852
6147,baseline,9,0.9876113983936626
6165,diffusion,1,0.244505556944476
6165,diffusion,2,0.4022364144639651
6165,diffusion,3,0.5312393463487807
6165,diffusion,4,0.6391281620036819
6165,diffusion,5,0.8191095252164822
6165,diffusion,6,0.860178640423646
6165,diffusion,7,0.92824836928112
6165,diffusion,8,0.9788177004022819
6165,baseline,1,0.244505556944476
6165,baseline,2,0.3813041205481943
6165,baseline,3,0.5170117502670515
6165,baseline,4,0.5507170617514034
6165,baseline,5,0.721061842314598
6165,baseline,6,0.8503602354598968
6165,baseline,7,0.8659514988977022
6165,baseline,8,0.8675878997249937
6165,baseline,9,0.9756358099047706
9035,diffusion,1,0.05323491814770525
9035,diffusion,2,0.08391406539936498
9035,diffusion,3,0.24009319203331822
9035,diffusion,4,0.44705372974310337
9035,diffusion,5,0.557152282380108
9035,diffusion,6,0.6774772174343326
9035,diffusion,7,0.7349181477052492
9035,diffusion,8,0.8014927219496103
9035,diffusion,9,0.8127087542781741
9035,diffusion,10,0.817760092367325
9035,diffusion,11,0.8819223949527855
9035,diffusion,12,0.8857160529462702
9035,diffusion,13,0.8953651395818729
9035,diffusion,14,0.8953651395818729
9035,diffusion,15,0.8957981114180859
9035,diffusion,16,0.8957981114180859
9035,diffusion,17,0.8957981114180859
9035,diffusion,18,0.8957981114180859
9035,diffusion,19,0.8957981114180859
9035,diffusion,20,0.8958805822440312
9035,baseline,1,0.05323491814770525
9035,baseline,2,0.08391406539936498
9035,baseline,3,0.24009319203331822
9035,baseline,4,0.44705372974310337
9035,baseline,5,0.5856871881571893
9035,baseline,6,0.67232279081275
9035,baseline,7,0.7776586532514123
