map_idx,lidar,method,step,coverage
968,30,diffusion,1,0.07584549356223176
968,30,diffusion,2,0.08422317596566524
968,30,diffusion,3,0.08841201716738198
968,30,diffusion,4,0.09050643776824034
968,30,diffusion,5,0.09050643776824034
968,30,diffusion,6,0.09050643776824034
968,30,diffusion,7,0.09050643776824034
968,30,diffusion,8,0.09050643776824034
968,30,diffusion,9,0.09050643776824034
968,30,diffusion,10,0.09050643776824034
968,30,diffusion,11,0.09050643776824034
968,30,diffusion,12,0.09050643776824034
968,30,diffusion,13,0.09050643776824034
968,30,diffusion,14,0.09050643776824034
968,30,diffusion,15,0.09050643776824034
968,30,diffusion,16,0.09050643776824034
968,30,diffusion,17,0.09050643776824034
968,30,diffusion,18,0.09050643776824034
968,30,diffusion,19,0.09050643776824034
968,30,diffusion,20,0.09050643776824034
968,30,baseline,1,0.07584549356223176
968,30,baseline,2,0.08422317596566524
968,30,baseline,3,0.08841201716738198
968,30,baseline,4,0.09050643776824034
968,30,baseline,5,0.09050643776824034
968,30,baseline,6,0.09050643776824034
968,30,baseline,7,0.09050643776824034
968,30,baseline,8,0.09050643776824034
968,30,baseline,9,0.09050643776824034
968,30,baseline,10,0.09050643776824034
968,30,baseline,11,0.09050643776824034
968,30,baseline,12,0.09050643776824034
968,30,baseline,13,0.09050643776824034
968,30,baseline,14,0.09050643776824034
968,30,baseline,15,0.09050643776824034
968,30,baseline,16,0.09050643776824034
968,30,baseline,17,0.09050643776824034
968,30,baseline,18,0.09050643776824034
968,30,baseline,19,0.09050643776824034
968,30,baseline,20,0.09050643776824034
968,50,diffusion,1,0.17864377682403434
968,50,diffusion,2,0.3085321888412017
968,50,diffusion,3,0.4530128755364807
968,50,diffusion,4,0.6113304721030043
968,50,diffusion,5,0.687656652360515
968,50,diffusion,6,0.7694420600858369
968,50,diffusion,7,0.7697854077253219
968,50,diffusion,8,0.8288068669527897
968,50,diffusion,9,0.8958969957081545
968,50,diffusion,10,0.9388154506437768
968,50,diffusion,11,0.9716738197424892
968,50,baseline,1,0.17864377682403434
968,50,baseline,2,0.3092188841201717
968,50,baseline,3,0.3873304721030043
968,50,baseline,4,0.49551931330472104
968,50,baseline,5,0.6264721030042918
968,50,baseline,6,0.7072961373390558
968,50,baseline,7,0.7198283261802575
968,50,baseline,8,0.9870557939914163
968,70,diffusion,1,0.3067811158798283
968,70,diffusion,2,0.4364291845493562
968,70,diffusion,3,0.6862489270386266
968,70,diffusion,4,0.7809442060085837
968,70,diffusion,5,0.9356909871244635
968,70,diffusion,6,0.9379914163090128
968,70,diffusion,7,0.9379914163090128
968,70,diffusion,8,0.9379914163090128
968,70,diffusion,9,0.9379914163090128
968,70,diffusion,10,0.9379914163090128
968,70,diffusion,11,0.9869871244635193
968,70,baseline,1,0.3067811158798283
968,70,baseline,2,0.43601716738197427
968,70,baseline,3,0.608274678111588
968,70,baseline,4,0.7627811158798283
968,70,baseline,5,0.9158111587982832
968,70,baseline,6,0.9626094420600858
968,100,diffusion,1,0.43179399141630903
968,100,diffusion,2,0.6281888412017167
968,100,diffusion,3,0.7865064377682404
968,100,diffusion,4,0.84068669527897
968,100,diffusion,5,0.9563948497854077
968,100,baseline,1,0.43179399141630903
968,100,baseline,2,0.6496137339055794
968,100,baseline,3,0.8666781115879828
968,100,baseline,4,0.887519313304721
968,100,baseline,5,0.9046523605150215
968,100,baseline,6,0.9053047210300429
968,100,baseline,7,0.9054763948497854
968,100,baseline,8,0.9054763948497854
968,100,baseline,9,0.9054763948497854
968,100,baseline,10,0.9054763948497854
968,100,baseline,11,0.9054763948497854
968,100,baseline,12,0.9054763948497854
968,100,baseline,13,0.9054763948497854
968,100,baseline,14,0.9054763948497854
968,100,baseline,15,0.9054763948497854
968,100,baseline,16,0.9054763948497854
968,100,baseline,17,0.9054763948497854
968,100,baseline,18,0.9054763948497854
968,100,baseline,19,0.9054763948497854
968,100,baseline,20,0.9054763948497854
1223,30,diffusion,1,0.10506519558676028
1223,30,diffusion,2,0.10506519558676028
1223,30,diffusion,3,0.10506519558676028
1223,30,diffusion,4,0.10506519558676028
1223,30,diffusion,5,0.10506519558676028
1223,30,diffusion,6,0.10506519558676028
1223,30,diffusion,7,0.10506519558676028
1223,30,diffusion,8,0.10506519558676028
1223,30,diffusion,9,0.10506519558676028
1223,30,diffusion,10,0.10506519558676028
1223,30,diffusion,11,0.10506519558676028
1223,30,diffusion,12,0.10506519558676028
1223,30,diffusion,13,0.10506519558676028
1223,30,diffusion,14,0.10506519558676028
1223,30,diffusion,15,0.10506519558676028
1223,30,diffusion,16,0.10506519558676028
1223,30,diffusion,17,0.10506519558676028
1223,30,diffusion,18,0.10506519558676028
1223,30,diffusion,19,0.10506519558676028
1223,30,diffusion,20,0.10506519558676028
1223,30,baseline,1,0.10506519558676028
1223,30,baseline,2,0.10506519558676028
1223,30,baseline,3,0.10506519558676028
1223,30,baseline,4,0.10506519558676028
1223,30,baseline,5,0.10506519558676028
1223,30,baseline,6,0.10506519558676028
1223,30,baseline,7,0.10506519558676028
1223,30,baseline,8,0.10506519558676028
1223,30,baseline,9,0.10506519558676028
1223,30,baseline,10,0.10506519558676028
1223,30,baseline,11,0.10506519558676028
1223,30,baseline,12,0.10506519558676028
1223,30,baseline,13,0.10506519558676028
1223,30,baseline,14,0.10506519558676028
1223,30,baseline,15,0.10506519558676028
1223,30,baseline,16,0.10506519558676028
1223,30,baseline,17,0.10506519558676028
1223,30,baseline,18,0.10506519558676028
1223,30,baseline,19,0.10506519558676028
1223,30,baseline,20,0.10506519558676028
1223,50,diffusion,1,0.19813010459951283
1223,50,diffusion,2,0.29266370540192005
1223,50,diffusion,3,0.4299326551081817
1223,50,diffusion,4,0.510710703539189
1223,50,diffusion,5,0.6422123513397335
1223,50,diffusion,6,0.7334503510531595
1223,50,diffusion,7,0.8071356927926637
1223,50,diffusion,8,0.8451067488178822
1223,50,diffusion,9,0.9120576013755552
1223,50,diffusion,10,0.9626379137412236
1223,50,baseline,1,0.19813010459951283
1223,50,baseline,2,0.20568849405358933
1223,50,baseline,3,0.338372259636051
1223,50,baseline,4,0.4754979223384439
1223,50,baseline,5,0.5263289869608826
1223,50,baseline,6,0.5497564120934231
1223,50,baseline,7,0.6815446339017052
1223,50,baseline,8,0.732590629029947
1223,50,baseline,9,0.8480083106462244
1223,50,baseline,10,0.8794598079954148
1223,50,baseline,11,0.890027224530735
1223,50,baseline,12,0.9510674881788221
1223,70,diffusion,1,0.22646510961455796
1223,70,diffusion,2,0.3700028657400774
1223,70,diffusion,3,0.5319888236136983
1223,70,diffusion,4,0.6106175669866744
1223,70,diffusion,5,0.8015833213927497
1223,70,diffusion,6,0.9061828342169366
1223,70,diffusion,7,0.9688350766585471
1223,70,baseline,1,0.22646510961455796
1223,70,baseline,2,0.3585757271815446
1223,70,baseline,3,0.5574222668004012
1223,70,baseline,4,0.5779839518555667
1223,70,baseline,5,0.7351697950995845
1223,70,baseline,6,0.8752686631322539
1223,70,baseline,7,0.8999856712996132
1223,70,baseline,8,0.9583393036251612
1223,100,diffusion,1,0.2686631322539046
1223,100,diffusion,2,0.6462243874480584
1223,100,diffusion,3,0.722273964751397
1223,100,diffusion,4,0.7425848975497923
1223,100,diffusion,5,0.8263003295601089
1223,100,diffusion,6,0.8453216793236853
1223,100,diffusion,7,0.8635549505659836
1223,100,diffusion,8,0.8760209199025648
1223,100,diffusion,9,0.9323685341739504
1223,100,diffusion,10,0.973993408797822
1223,100,baseline,1,0.2686631322539046
1223,100,baseline,2,0.6462243874480584
1223,100,baseline,3,0.7518269092993265
1223,100,baseline,4,0.8437455222811291
1223,100,baseline,5,0.8720447055452071
1223,100,baseline,6,0.8986602665138272
1223,100,baseline,7,0.9055022209485599
1223,100,baseline,8,0.9060037254621006
1223,100,baseline,9,0.9061111907150021
