map_idx,method,step,coverage
95,diffusion,1,0.2852313221454025
95,diffusion,2,0.4384613041756769
95,diffusion,3,0.7027990131879511
95,diffusion,4,0.7919166692047634
95,diffusion,5,0.8870039289738982
95,diffusion,6,0.9667712362562056
95,baseline,1,0.2852313221454025
95,baseline,2,0.4378217037736424
95,baseline,3,0.5800261931593215
95,baseline,4,0.6650625894679134
95,baseline,5,0.8199677154082783
95,baseline,6,0.9710047817744343
187,diffusion,1,0.35270235980715553
187,diffusion,2,0.6523217457498097
187,diffusion,3,0.8527784826186248
187,diffusion,4,0.9761989342806394
187,baseline,1,0.35270235980715553
187,baseline,2,0.6523217457498097
187,baseline,3,0.8640954072570414
187,baseline,4,0.8693732555189039
187,baseline,5,0.9895458005582339
289,diffusion,1,0.15272076623513314
289,diffusion,2,0.21063572255552046
289,diffusion,3,0.29075886748763285
289,diffusion,4,0.4456373013367014
289,diffusion,5,0.4787390800968319
289,diffusion,6,0.6848226502473423
289,diffusion,7,0.7703925902536575
289,diffusion,8,0.783180717819177
289,diffusion,9,0.9050099989474792
289,diffusion,10,0.9417956004631092
289,diffusion,11,0.9790548363330176
289,baseline,1,0.15272076623513314
289,baseline,2,0.21063572255552046
289,baseline,3,0.28325965687822335
289,baseline,4,0.3240711504052205
289,baseline,5,0.4843437532891275
289,baseline,6,0.5780181033575413
289,baseline,7,0.6860067361330386
289,baseline,8,0.8070992527102411
289,baseline,9,0.8381223029154826
289,baseline,10,0.9591095674139565
516,diffusion,1,0.3002182744194507
516,diffusion,2,0.4656824107196993
516,diffusion,3,0.557751773479658
516,diffusion,4,0.7441945067604439
516,diffusion,5,0.8077669314254532
516,diffusion,6,0.8733098890438368
516,diffusion,7,0.9537682653246832
516,baseline,1,0.3002182744194507
516,baseline,2,0.34302431334505545
516,baseline,3,0.4418844358212575
516,baseline,4,0.5959194809919359
516,baseline,5,0.76753774328503
516,baseline,6,0.7704480688777057
516,baseline,7,0.8338385981931729
516,baseline,8,0.8339901776511247
516,baseline,9,0.9328199842357364
516,baseline,10,0.997150306190505
573,diffusion,1,0.21665637542451374
573,diffusion,2,0.41868632293917873
573,diffusion,3,0.49123958011732016
573,diffusion,4,0.6515128125964804
573,diffusion,5,0.6640166718122877
573,diffusion,6,0.7547082432849644
573,diffusion,7,0.7558660080271689
573,diffusion,8,0.7558660080271689
573,diffusion,9,0.8470592775548008
573,diffusion,10,0.8723371410929299
573,diffusion,11,0.9426520531028095
573,diffusion,12,0.9834053720284038
573,baseline,1,0.21665637542451374
573,baseline,2,0.3986955850571164
573,baseline,3,0.5036662550169806
573,baseline,4,0.5541447977770917
573,baseline,5,0.5541447977770917
573,baseline,6,0.5541447977770917
573,baseline,7,0.7311284347020686
573,baseline,8,0.7691417104044458
573,baseline,9,0.8607209015128126
573,baseline,10,0.8631136153133683
573,baseline,11,0.8646958937943809
573,baseline,12,0.8646958937943809
573,baseline,13,0.8646958937943809
573,baseline,14,0.8646958937943809
573,baseline,15,0.8646958937943809
573,baseline,16,0.8646958937943809
573,baseline,17,0.8646958937943809
573,baseline,18,0.8646958937943809
573,baseline,19,0.8646958937943809
573,baseline,20,0.8646958937943809
577,diffusion,1,0.22984815290473673
577,diffusion,2,0.45429477978393895
577,diffusion,3,0.6617435974918788
577,diffusion,4,0.6709224144443605
577,diffusion,5,0.7157966306564931
577,diffusion,6,0.853441112034449
577,diffusion,7,0.9746921507894538
577,baseline,1,0.22984815290473673
577,baseline,2,0.39559567877917956
577,baseline,3,0.4126690337689809
577,baseline,4,0.7411422527763089
577,baseline,5,0.811437636926796
577,baseline,6,0.9528971821409685
772,diffusion,1,0.14102855657710925
772,diffusion,2,0.38692700042233846
772,diffusion,3,0.6349371365452714
772,diffusion,4,0.670186153796173
772,diffusion,5,0.8587115428348656
772,diffusion,6,0.9538676456255483
772,baseline,1,0.14102855657710925
772,baseline,2,0.38692700042233846
772,baseline,3,0.6349371365452714
772,baseline,4,0.7944186348721614
772,baseline,5,0.8877879211201716
772,baseline,6,0.8904519021474286
772,baseline,7,0.9834963126604074
990,diffusion,1,0.28129553181155903
990,diffusion,2,0.5081653715395823
990,diffusion,3,0.7375242836328315
990,diffusion,4,0.9207139388052452
990,diffusion,5,0.9677331228751821
990,baseline,1,0.28129553181155903
990,baseline,2,0.4526772705196697
990,baseline,3,0.5968916949975717
990,baseline,4,0.6875910636231181
990,baseline,5,0.8703254006799417
990,baseline,6,0.9072668771248179
990,baseline,7,0.9777804759592035
1173,diffusion,1,0.2564221648137935
1173,diffusion,2,0.3372325912165104
1173,diffusion,3,0.574381004905518
1173,diffusion,4,0.8219790426983251
1173,diffusion,5,0.9519897825897652
1173,baseline,1,0.2564221648137935
1173,baseline,2,0.3372325912165104
